bh_bar,break_even_win_rate,control_mean,control_trades,edge,entry_distance,exit_stop,exit_target,exit_time,few_trades,max_hold_minutes,no_new_entry_after,no_reward,p,params_hash,reward,rule_mean,survives_fdr,t,trades,underpowered,volume_ratio_min,win_rate
nan,1.0,-7.799449842727023e-05,3616,-1.0181189319957853e-05,-0.001,355,2992,111,False,120,15:40,True,0.8292050381482354,0033cbf7289c16cb,0.0,-8.817568774722774e-05,False,-0.2157212473549552,3648,True,1.2,0.7058662280701754
nan,1.0,-8.305904061029053e-05,3541,-4.151773633534318e-06,-0.001,371,2999,5,False,240,15:40,True,0.9309903358338469,c47fa99b2fd945f6,0.0,-8.721081424382495e-05,False,-0.08659890560584019,3572,True,1.2,0.7091265397536394
0.027083333333333334,0.8333333333333334,-3.244893234219932e-05,5458,2.048261419820711e-05,-0.002,18,387,4741,False,5,15:40,False,0.34088719970543996,1adb7d3d09cab666,0.001,-1.1966318143992188e-05,False,0.9524137285332991,5146,False,1.2,0.5054411193159736
0.03854166666666667,0.8333333333333334,-2.5472691069663035e-05,4373,-2.1446210834630463e-05,-0.002,98,841,2887,False,15,15:40,False,0.5507425415997392,0163d073770c8d8d,0.001,-4.691890190429341e-05,False,-0.5966478134182073,3922,False,1.2,0.52371239163692
0.057291666666666664,0.8333333333333334,-4.7577410441387016e-05,3279,-1.9778376104864347e-05,-0.002,164,1036,1431,False,30,15:40,False,0.7060281815131808,2efef65c3e4ac88c,0.001,-6.735578654625152e-05,False,-0.37719569204711223,2781,False,1.2,0.5663430420711975
0.07395833333333333,0.8333333333333334,-0.00010529794181475352,2549,8.161864878347453e-06,-0.002,266,1155,511,False,60,15:40,False,0.9065391749490328,d0d1df9e38510b0c,0.001,-9.713607693640632e-05,False,0.11740493324147128,2097,False,1.2,0.6227944682880305
0.08541666666666667,0.8333333333333334,-0.0001138732462957803,2269,4.688001790320408e-06,-0.002,332,1200,109,False,120,15:40,False,0.9536404472314144,ca8c70d6da269439,0.001,-0.00010918524450545972,False,0.05813581393026387,1817,False,1.2,0.6703357182168409
0.051041666666666666,0.8333333333333334,-7.424722980337333e-05,2212,-3.520249566272765e-05,-0.002,340,1213,8,False,240,15:40,False,0.6737937267914902,183ce893aad03249,0.001,-0.00010944972546610092,False,-0.4209470781501748,1743,False,1.2,0.678714859437751
0.03541666666666667,0.7142857142857143,-3.1389878294849684e-05,3715,2.1017993659296567e-05,-0.003,14,93,3351,False,5,15:40,False,0.43814500651779126,8c98e52120ac9679,0.002,-1.0371884635552975e-05,False,0.7753294584921211,3458,False,1.2,0.49219201850780797
0.04791666666666667,0.7142857142857143,-8.032632364345611e-05,2902,2.0590300608348453e-05,-0.003,78,280,2201,False,15,15:40,False,0.6551199739320603,49dc1093146c56e6,0.002,-5.973602303510761e-05,False,0.44666082121828454,2636,False,1.2,0.507587253414264
0.043750000000000004,0.7142857142857143,-2.5351899842717156e-05,2133,-3.598529905106663e-05,-0.003,127,432,1147,False,30,15:40,False,0.6085411653827308,6b1be767af91e035,0.002,-6.133719889378373e-05,False,-0.5121569561377057,1830,False,1.2,0.5147540983606558
