session,signal_t_utc,signal_close,entry_t_utc,entry_price,exit_t_utc,exit_price,exit_reason,minutes_held,stop,target_at_exit,gross_return,net_return,ambiguous_exit
2021-12-03,2021-12-03T18:35:00Z,451.1235,2021-12-03T18:36:00Z,451.14,2021-12-03T18:51:00Z,451.16,time,15,448.8843,452.9526251409666,4.4332136365737145e-05,4.4332136365737145e-05,False
2021-12-03,2021-12-03T19:00:00Z,450.43,2021-12-03T19:01:00Z,450.425,2021-12-03T19:16:00Z,450.57,time,15,448.17287500000003,452.7804203675667,0.00032191818837760294,0.00032191818837760294,False
2021-12-03,2021-12-03T19:18:00Z,450.12,2021-12-03T19:19:00Z,450.11,2021-12-03T19:34:00Z,450.33,time,15,447.85945000000004,452.57169325724357,0.0004887694119214646,0.0004887694119214646,False
2021-12-03,2021-12-03T19:42:00Z,450.41,2021-12-03T19:43:00Z,450.43,2021-12-03T19:58:00Z,450.0,time,15,448.17785,452.36273639039143,-0.0009546433408076878,-0.0009546433408076878,False
2021-12-03,2021-12-03T19:59:00Z,449.64,2021-12-03T20:00:00Z,449.64,2021-12-03T20:15:00Z,450.02,time,15,447.3918,452.1910498038064,0.000845120540877136,0.000845120540877136,False
2021-12-14,2021-12-14T15:56:00Z,461.43,2021-12-14T15:57:00Z,461.425,2021-12-14T16:12:00Z,461.47,time,15,459.117875,462.92682802537576,9.752397464380109e-05,9.752397464380109e-05,False
2021-12-16,2021-12-16T17:46:00Z,468.11,2021-12-16T17:47:00Z,468.12,2021-12-16T18:02:00Z,468.1,time,15,465.7794,470.16045684546503,-4.272408784068574e-05,-4.272408784068574e-05,False
2021-12-16,2021-12-16T19:11:00Z,467.66,2021-12-16T19:12:00Z,467.65,2021-12-16T19:27:00Z,466.95,time,15,465.31174999999996,469.609371406135,-0.0014968459317865684,-0.0014968459317865684,False
2021-12-16,2021-12-16T19:36:00Z,466.96,2021-12-16T19:37:00Z,466.96,2021-12-16T19:52:00Z,465.34,time,15,464.62519999999995,469.312195128708,-0.0034692479013191807,-0.0034692479013191807,False
2021-12-16,2021-12-16T19:54:00Z,464.805,2021-12-16T19:55:00Z,464.805,2021-12-16T20:10:00Z,465.5486,time,15,462.480975,468.97397313949114,0.0015998106732931334,0.0015998106732931334,False
